Email,Result,Valid,Is_Role,Is_Disposable,Is_Free,Delivery_Confidence
Patrickimpossible@arcor.de,neutral,true,false,false,true,50
Jeremiahbreakable@cox.net,neutral,true,false,false,true,49
proudDane@yahoo.fr,neutral,true,false,false,true,49
lovelyIvan70@chello.nl,neutral,true,false,false,true,49
Whitneygorgeous@hotmail.fr,neutral,true,false,false,true,52
comfortableCristina@shaw.ca,neutral,true,false,false,false,53
stupidMartha43@sky.com,neutral,true,false,false,true,48
grumpyTiffany@yahoo.com.ar,neutral,true,false,false,true,51
proudJodi37@yahoo.it,neutral,true,false,false,true,49
funnyThomas@ntlworld.com,neutral,true,false,false,false,48
Carolyndifferent@planet.nl,neutral,true,false,false,true,49
blue-eyedAnn@live.com.au,neutral,true,false,false,true,53
gentleTheresa@optusnet.com.au,neutral,true,false,false,true,51
outstandingAlexander96@juno.com,neutral,true,false,false,true,49
creepyAngel@aol.com,neutral,true,false,false,true,50
itchyApril1@outlook.com,neutral,true,false,false,true,48
Albertogrotesque@bol.com.br,neutral,true,false,false,true,48
glamorousJacqueline@bol.com.br,neutral,true,false,false,true,50
Tylerbad@tin.it,neutral,true,false,false,false,49
Christiekind@qq.com,neutral,true,false,false,true,50
alertDustin50@tiscali.it,neutral,true,false,false,true,51
adorableKathleen8@optonline.net,neutral,true,false,false,true,48
naughtyKaren25@sky.com,neutral,true,false,false,true,50
impossibleTammy@cox.net,neutral,true,false,false,true,52
Taragrumpy@yahoo.com.mx,neutral,true,false,false,true,52
outstandingJordan@charter.net,neutral,true,false,false,true,53
Terrysuper@tiscali.it,neutral,true,false,false,true,49
Brendanwicked@msn.com,neutral,true,false,false,true,51
badNatalie79@live.ca,neutral,true,false,false,true,49
Karaenchanting@yahoo.com.mx,neutral,true,false,false,true,48
Jessicafair@live.ca,neutral,true,false,false,true,52
smoggyNancy@live.com.au,neutral,true,false,false,true,50
Jeremiahclear@verizon.net,neutral,true,false,false,true,48
hilariousPhillip@gmail.com,neutral,true,false,false,true,49
Jonathanpuzzled@sbcglobal.net,neutral,true,false,false,true,52
Trishahorrible@live.com.au,neutral,true,false,false,true,49
comfortableTina82@bluewin.ch,neutral,true,false,false,false,49
handsomeKate20@yahoo.de,neutral,true,false,false,true,50
gleamingChristine@planet.nl,neutral,true,false,false,true,52
plainJason3@live.fr,neutral,true,false,false,true,51
nastyGloria1@yahoo.it,neutral,true,false,false,true,53
powerfulJared70@blueyonder.co.uk,neutral,true,false,false,false,48
victoriousAlison19@virgilio.it,neutral,true,false,false,true,49
hurtWillie29@aol.com,neutral,true,false,false,true,51
dullShannon49@yahoo.com.br,neutral,true,false,false,true,49
Tiffanyannoyed@live.co.uk,neutral,true,false,false,true,49
modernBrandy@libero.it,neutral,true,false,false,true,49
Jeremiahquaint@mail.com,neutral,true,false,false,true,52
Tonyrelieved@juno.com,neutral,true,false,false,true,53
beautifulKathryn@virgilio.it,neutral,true,false,false,true,52
filthyMonique@home.nl,neutral,true,false,false,true,48
Aimeeamused@bol.com.br,neutral,true,false,false,true,51
glamorousBrandi81@free.fr,neutral,true,false,false,true,50
powerfulRoberto@ig.com.br,neutral,true,false,false,true,51
encouragingNatalie70@gmx.de,neutral,true,false,false,true,49
fragileRuth@zonnet.nl,neutral,true,false,false,true,52
nervousMelody@ntlworld.com,neutral,true,false,false,false,51
breakableBrendan@yahoo.com.sg,neutral,true,false,false,true,51
elatedAllen@outlook.com,neutral,true,false,false,true,51
helplessTanya24@juno.com,neutral,true,false,false,true,53
disturbedRafael42@hotmail.fr,neutral,true,false,false,true,48
cooperativeStefanie@yahoo.co.jp,neutral,true,false,false,true,53
boredJacqueline38@telenet.be,neutral,true,false,false,false,50
illManuel@sympatico.ca,neutral,true,false,false,false,48
vivaciousTracy28@sfr.fr,neutral,true,false,false,false,49
cloudyAndre@yahoo.co.uk,neutral,true,false,false,true,49
quaintKatherine@hotmail.fr,neutral,true,false,false,true,53
Tylerstupid@bellsouth.net,neutral,true,false,false,true,50
Bryceblue@zonnet.nl,neutral,true,false,false,true,52
frailFrancisco@t-online.de,neutral,true,false,false,true,51
livelyMaurice50@telenet.be,neutral,true,false,false,false,48
helpfulJacob44@live.ca,neutral,true,false,false,true,52
Kylecareful@yahoo.co.id,neutral,true,false,false,true,52
uglyHeather56@sfr.fr,neutral,true,false,false,false,48
alertAdam55@rediffmail.com,neutral,true,false,false,true,48
outrageousShanna@uol.com.br,neutral,true,false,false,true,49
lovelyAlicia76@telenet.be,neutral,true,false,false,false,52
Jerryitchy@frontiernet.net,neutral,true,false,false,true,50
fineBarry74@terra.com.br,neutral,true,false,false,true,50
outstandingTyler@rocketmail.com,neutral,true,false,false,true,51
gleamingJulia@voila.fr,neutral,true,false,false,false,53
bloodyDrew@ymail.com,neutral,true,false,false,true,52
evilCrystal@voila.fr,neutral,true,false,false,false,51
Jackaggressive@yahoo.com.au,neutral,true,false,false,true,49
tastyReginald55@outlook.com,neutral,true,false,false,true,53
crowdedAlan42@free.fr,neutral,true,false,false,true,52
grievingJon@yahoo.com.mx,neutral,true,false,false,true,53
Patriciafrantic@telenet.be,neutral,true,false,false,false,51
Jamietroubled@aim.com,neutral,true,false,false,true,51
Annexuberant@wanadoo.fr,neutral,true,false,false,true,51
Jameshomeless@tin.it,neutral,true,false,false,false,49
boredMarc60@zonnet.nl,neutral,true,false,false,true,51
Victoradorable@libero.it,neutral,true,false,false,true,51
Alangraceful@mac.com,neutral,true,false,false,true,50
Lancearrogant@terra.com.br,neutral,true,false,false,true,49
Jennyitchy@terra.com.br,neutral,true,false,false,true,50
Katherinecloudy@yahoo.fr,neutral,true,false,false,true,50
wittyStefanie@laposte.net,neutral,true,false,false,true,52
bloodyMitchell77@hetnet.nl,neutral,true,false,false,true,48
Jakeglamorous@me.com,neutral,true,false,false,true,51
blue-eyedColleen@yahoo.com.mx,neutral,true,false,false,true,53
Josephfrantic@mac.com,neutral,true,false,false,true,53
Marvinmushy@frontiernet.net,neutral,true,false,false,true,49
longSummer@mail.ru,neutral,true,false,false,true,49
jollyAshley@laposte.net,neutral,true,false,false,true,51
naughtyAudrey34@bigpond.com,neutral,true,false,false,true,50
Corydoubtful@earthlink.net,neutral,true,false,false,true,53
modernIsaac56@web.de,neutral,true,false,false,true,51
grievingMonica@hotmail.es,neutral,true,false,false,true,50
annoyedLisa@yahoo.in,neutral,true,false,false,true,52
Tristanfaithful@yahoo.com.ar,neutral,true,false,false,true,49
Tonyaenvious@verizon.net,neutral,true,false,false,true,51
sparklingRachael55@me.com,neutral,true,false,false,true,48
eagerHolly76@hotmail.it,neutral,true,false,false,true,48
drabRicardo@yahoo.ca,neutral,true,false,false,true,48
modernDevin92@yahoo.fr,neutral,true,false,false,true,51
aliveNicolas98@bluewin.ch,neutral,true,false,false,false,49
Calebwandering@blueyonder.co.uk,neutral,true,false,false,false,53
thoughtlessRoy38@outlook.com,neutral,true,false,false,true,51
magnificentJorge19@telenet.be,neutral,true,false,false,false,51
fierceDeanna@web.de,neutral,true,false,false,true,50
Arthurhealthy@aim.com,neutral,true,false,false,true,53
concernedMiguel55@comcast.net,neutral,true,false,false,true,52
cautiousJoy@yahoo.es,neutral,true,false,false,true,51
distinctErica10@optonline.net,neutral,true,false,false,true,52
Shawnacloudy@mail.ru,neutral,true,false,false,true,48
Katelynprickly@googlemail.com,neutral,true,false,false,true,48
Sheenasuper@mail.ru,neutral,true,false,false,true,50
Naomidrab@sympatico.ca,neutral,true,false,false,false,49
thoughtfulHolly@laposte.net,neutral,true,false,false,true,51
tameJose@hotmail.de,neutral,true,false,false,true,52
dangerousCole47@skynet.be,neutral,true,false,false,false,48
busyHannah83@googlemail.com,neutral,true,false,false,true,52
unsightlyJohn12@aim.com,neutral,true,false,false,true,48
cuteStephanie21@arcor.de,neutral,true,false,false,true,50
cheerfulMartin56@comcast.net,neutral,true,false,false,true,50
importantJacquelyn@tiscali.it,neutral,true,false,false,true,48
victoriousHilary@libero.it,neutral,true,false,false,true,53
curiousAimee67@hotmail.de,neutral,true,false,false,true,50
obnoxiousChristina59@gmx.net,neutral,true,false,false,true,51
cooperativeAntonio@charter.net,neutral,true,false,false,true,48
Lindsaybetter@laposte.net,neutral,true,false,false,true,51
lovelyJerry@rambler.ru,neutral,true,false,false,true,48
vivaciousDana@bellsouth.net,neutral,true,false,false,true,49
condemnedCourtney58@bellsouth.net,neutral,true,false,false,true,53
upsetDustin@yahoo.com.au,neutral,true,false,false,true,51
Garrettpoor@facebook.com,neutral,true,false,false,true,51
brainyBrandon36@chello.nl,neutral,true,false,false,true,50
Raulgifted@me.com,neutral,true,false,false,true,50
difficultNichole@telenet.be,neutral,true,false,false,false,51
fancyCharlotte64@mail.ru,neutral,true,false,false,true,53
Omardelightful@gmx.net,neutral,true,false,false,true,52
famousJillian91@voila.fr,neutral,true,false,false,false,52
Jaclynscary@home.nl,neutral,true,false,false,true,53
Dominiquefunny@charter.net,neutral,true,false,false,true,48
Laceyoutstanding@tiscali.co.uk,neutral,true,false,false,true,48
combativeHeather@shaw.ca,neutral,true,false,false,false,48
helpfulChristy24@yahoo.co.uk,neutral,true,false,false,true,48
joyousKathryn@yahoo.co.jp,neutral,true,false,false,true,51
arrogantKatherine@yahoo.com.au,neutral,true,false,false,true,50
Devonopen@rocketmail.com,neutral,true,false,false,true,48
old-fashionedLatasha21@voila.fr,neutral,true,false,false,false,52
Paulill@verizon.net,neutral,true,false,false,true,51
vastMichele28@outlook.com,neutral,true,false,false,true,50
magnificentErnest95@yahoo.in,neutral,true,false,false,true,51
Geraldbetter@sympatico.ca,neutral,true,false,false,false,53
angryStacey@shaw.ca,neutral,true,false,false,false,51
realKellie@aliceadsl.fr,neutral,true,false,false,false,51
Markfine@voila.fr,neutral,true,false,false,false,52
unusualJessica@hetnet.nl,neutral,true,false,false,true,50
Ashleydetermined@virgilio.it,neutral,true,false,false,true,52
Anneshiny@att.net,neutral,true,false,false,true,48
troubledJared@facebook.com,neutral,true,false,false,true,53
frightenedCarolyn@live.it,neutral,true,false,false,true,52
outrageousWendy8@mac.com,neutral,true,false,false,true,53
grumpyNicholas@club-internet.fr,neutral,true,false,false,false,50
Paulaputrid@bol.com.br,neutral,true,false,false,true,51
Jorgeannoying@chello.nl,neutral,true,false,false,true,49
gleamingMary90@yahoo.com,neutral,true,false,false,true,53
sillyJacqueline70@verizon.net,neutral,true,false,false,true,53
delightfulMonique@orange.fr,neutral,true,false,false,true,48
zanyShawna28@earthlink.net,neutral,true,false,false,true,53
betterChristian@orange.fr,neutral,true,false,false,true,52
sparklingAmber@optonline.net,neutral,true,false,false,true,52
pleasantCraig@yahoo.com.mx,neutral,true,false,false,true,53
itchyJonathan@earthlink.net,neutral,true,false,false,true,50
wanderingJay@bellsouth.net,neutral,true,false,false,true,51
glamorousCatherine16@virgilio.it,neutral,true,false,false,true,49
Margaretbad@ymail.com,neutral,true,false,false,true,50
terribleMark@gmail.com,neutral,true,false,false,true,48
Raymondworried@cox.net,neutral,true,false,false,true,48
Javieranxious@club-internet.fr,neutral,true,false,false,false,48
perfectCurtis49@gmail.com,neutral,true,false,false,true,48
bewilderedLarry@earthlink.net,neutral,true,false,false,true,49
exuberantTammy@hotmail.es,neutral,true,false,false,true,48
enchantingSteve79@comcast.net,neutral,true,false,false,true,53
awfulColleen82@sfr.fr,neutral,true,false,false,false,50
mushyJesus@yahoo.com.br,neutral,true,false,false,true,51
homelyRoss87@yahoo.com.br,neutral,true,false,false,true,49
Claudiaunusual@verizon.net,neutral,true,false,false,true,49
Maggietame@mac.com,neutral,true,false,false,true,50
annoyingTerrance36@aim.com,neutral,true,false,false,true,52
Tarabad@yahoo.co.uk,neutral,true,false,false,true,51
soreBethany@rocketmail.com,neutral,true,false,false,true,49
terribleCharles@mail.ru,neutral,true,false,false,true,52
worrisomeLindsay9@yahoo.ca,neutral,true,false,false,true,49
Jilliannaughty@bellsouth.net,neutral,true,false,false,true,50
blueRichard@planet.nl,neutral,true,false,false,true,48
Nicolepleasant@voila.fr,neutral,true,false,false,false,51
Bonniekind@bigpond.net.au,neutral,true,false,false,true,51
hilariousAlexander88@yahoo.com.mx,neutral,true,false,false,true,53
Mollyspotless@hotmail.de,neutral,true,false,false,true,49
condemnedJermaine62@neuf.fr,neutral,true,false,false,false,51
aliveAllison@ntlworld.com,neutral,true,false,false,false,48
wildKrystle26@hotmail.com,neutral,true,false,false,true,50
blushingJasmine76@aol.com,neutral,true,false,false,true,52
disturbedClinton@live.ca,neutral,true,false,false,true,50
colorfulCody59@yahoo.co.in,neutral,true,false,false,true,52
hilariousMaggie76@freenet.de,neutral,true,false,false,true,48
modernNikki4@googlemail.com,neutral,true,false,false,true,53
wide-eyedRuth@yahoo.com.mx,neutral,true,false,false,true,52
plainFelicia@comcast.net,neutral,true,false,false,true,49
Melanieexpensive@yahoo.fr,neutral,true,false,false,true,49
Bradleyhandsome@yahoo.com.ar,neutral,true,false,false,true,50
Latashacareful@yahoo.com.br,neutral,true,false,false,true,49
darkAaron@ymail.com,neutral,true,false,false,true,52
Jennatame@hotmail.it,neutral,true,false,false,true,53
Miguelblue-eyed@yahoo.it,neutral,true,false,false,true,53
homelyBridget@att.net,neutral,true,false,false,true,51
mysteriousBonnie@aliceadsl.fr,neutral,true,false,false,false,49
niceEdward76@rambler.ru,neutral,true,false,false,true,52
repulsiveJanet@frontiernet.net,neutral,true,false,false,true,51
agreeableRobin69@rambler.ru,neutral,true,false,false,true,49
stupidJessie80@yahoo.com.au,neutral,true,false,false,true,52
Audreycautious@tiscali.co.uk,neutral,true,false,false,true,49
lovelyReginald97@yahoo.it,neutral,true,false,false,true,48
repulsiveRyan@comcast.net,neutral,true,false,false,true,51
obedientBryce@sbcglobal.net,neutral,true,false,false,true,51
Veronicaenthusiastic@hotmail.co.uk,neutral,true,false,false,true,52
handsomeBrooke@verizon.net,neutral,true,false,false,true,50
blushingDonald@yahoo.com.ar,neutral,true,false,false,true,51
Dylanfriendly@earthlink.net,neutral,true,false,false,true,52
thankfulAdriana@yahoo.co.id,neutral,true,false,false,true,50
handsomeBrittney80@gmx.de,neutral,true,false,false,true,52
talentedMindy32@yahoo.es,neutral,true,false,false,true,52
dullAdrienne82@sbcglobal.net,neutral,true,false,false,true,49
Scottobnoxious@chello.nl,neutral,true,false,false,true,52
crowdedBenjamin50@hotmail.de,neutral,true,false,false,true,48
Dominicfriendly@earthlink.net,neutral,true,false,false,true,53
perfectDarrell98@home.nl,neutral,true,false,false,true,51
healthyGary85@rocketmail.com,neutral,true,false,false,true,52
fineRamon@mac.com,neutral,true,false,false,true,53
Jaclynunusual@yahoo.co.in,neutral,true,false,false,true,51
outrageousKrystle@home.nl,neutral,true,false,false,true,50
zealousBonnie33@sfr.fr,neutral,true,false,false,false,52
drabMallory@hetnet.nl,neutral,true,false,false,true,49
talentedKristopher@yahoo.com,neutral,true,false,false,true,51
Laurenanxious@rediffmail.com,neutral,true,false,false,true,49
Dominiqueangry@yahoo.ca,neutral,true,false,false,true,49
repulsiveGloria@mac.com,neutral,true,false,false,true,51
Franciscofriendly@rediffmail.com,neutral,true,false,false,true,50
scaryAndrea@bellsouth.net,neutral,true,false,false,true,53
ugliestSheila@juno.com,neutral,true,false,false,true,48
Jessecombative@cox.net,neutral,true,false,false,true,52
vivaciousBrent79@yahoo.co.in,neutral,true,false,false,true,48
breakableAlisha30@ig.com.br,neutral,true,false,false,true,50
clumsyHenry@yahoo.com.ar,neutral,true,false,false,true,48
naughtyLeslie72@juno.com,neutral,true,false,false,true,53
Oliviadefeated@live.co.uk,neutral,true,false,false,true,51
combativeDrew95@sky.com,neutral,true,false,false,true,52
inquisitiveDesiree22@cox.net,neutral,true,false,false,true,48
lonelyLydia25@voila.fr,neutral,true,false,false,false,48
powerfulMark45@tiscali.it,neutral,true,false,false,true,50
Lancefierce@terra.com.br,neutral,true,false,false,true,53
attractiveTodd@yandex.ru,neutral,true,false,false,true,52
itchyEduardo@googlemail.com,neutral,true,false,false,true,52
aggressiveShanna83@cox.net,neutral,true,false,false,true,52
terribleHillary@sympatico.ca,neutral,true,false,false,false,48
muddyLuis7@terra.com.br,neutral,true,false,false,true,53
mysteriousCandice@yahoo.com,neutral,true,false,false,true,50
Keithevil@juno.com,neutral,true,false,false,true,53
inexpensiveCaroline84@hotmail.co.uk,neutral,true,false,false,true,53
aliveJeffery@bluewin.ch,neutral,true,false,false,false,49
differentAdrienne@outlook.com,neutral,true,false,false,true,50
modernKathryn@centurytel.net,neutral,true,false,false,true,51
elegantDonna47@yahoo.de,neutral,true,false,false,true,50
angryCheryl@live.ca,neutral,true,false,false,true,49
brainyArthur@t-online.de,neutral,true,false,false,true,50
inquisitiveDennis@aol.com,neutral,true,false,false,true,51
shyMelissa7@live.co.uk,neutral,true,false,false,true,50
Ninasilly@gmx.net,neutral,true,false,false,true,49
Alyssabeautiful@frontiernet.net,neutral,true,false,false,true,52
shySheena87@hotmail.co.uk,neutral,true,false,false,true,49
livelyHannah@club-internet.fr,neutral,true,false,false,false,51
eagerNikki78@mail.ru,neutral,true,false,false,true,48
openTroy@rediffmail.com,neutral,true,false,false,true,52
uglyLogan@zonnet.nl,neutral,true,false,false,true,49
livelyRobin@sympatico.ca,neutral,true,false,false,false,53
wickedAlbert@optusnet.com.au,neutral,true,false,false,true,50
Saradizzy@hetnet.nl,neutral,true,false,false,true,51
Jonathanmushy@rocketmail.com,neutral,true,false,false,true,51
inquisitiveCaleb0@sfr.fr,neutral,true,false,false,false,52
busySamuel69@comcast.net,neutral,true,false,false,true,51
helplessCara@shaw.ca,neutral,true,false,false,false,48
disgustedNatalie3@mail.ru,neutral,true,false,false,true,52
Jeffreybrainy@hotmail.de,neutral,true,false,false,true,48
cleverPamela@tin.it,neutral,true,false,false,false,49
magnificentGarrett29@live.co.uk,neutral,true,false,false,true,50
Robindefeated@planet.nl,neutral,true,false,false,true,53
Prestonbored@tiscali.co.uk,neutral,true,false,false,true,52
Melodyenthusiastic@web.de,neutral,true,false,false,true,48
blueBrianna33@web.de,neutral,true,false,false,true,51
grumpyShannon70@live.ca,neutral,true,false,false,true,52
Briannabrainy@qq.com,neutral,true,false,false,true,52
Hilarystormy@chello.nl,neutral,true,false,false,true,48
lightRichard62@wanadoo.fr,neutral,true,false,false,true,49
homelySharon@live.nl,neutral,true,false,false,true,51
goodRoberto47@virgilio.it,neutral,true,false,false,true,51
Shanefancy@orange.fr,neutral,true,false,false,true,52
lovelyKaitlin91@yahoo.it,neutral,true,false,false,true,52
Robinexuberant@hotmail.co.uk,neutral,true,false,false,true,51
Willietender@hotmail.es,neutral,true,false,false,true,52
cuteEddie@facebook.com,neutral,true,false,false,true,50
confusedHector23@yahoo.in,neutral,true,false,false,true,49
motionlessLevi@planet.nl,neutral,true,false,false,true,49
Lydiagraceful@yahoo.com.ar,neutral,true,false,false,true,50
jealousHannah@comcast.net,neutral,true,false,false,true,50
Candacehungry@hotmail.com,neutral,true,false,false,true,52
puzzledTimothy@yahoo.com.mx,neutral,true,false,false,true,50
thoughtfulAlbert@me.com,neutral,true,false,false,true,51
tastyRicky@yahoo.com.ar,neutral,true,false,false,true,50
Jacquelineelegant@alice.it,neutral,true,false,false,true,51
Joannakind@neuf.fr,neutral,true,false,false,false,51
busySean@alice.it,neutral,true,false,false,true,50
cloudyMarco@live.com.au,neutral,true,false,false,true,53
homelessBrad1@aliceadsl.fr,neutral,true,false,false,false,49
Theresalazy@aol.com,neutral,true,false,false,true,51
joyousAlex22@club-internet.fr,neutral,true,false,false,false,50
cruelDaisy5@yahoo.ca,neutral,true,false,false,true,52
wearyGloria@ntlworld.com,neutral,true,false,false,false,50
Jonsleepy@att.net,neutral,true,false,false,true,48
Austindoubtful@hotmail.com,neutral,true,false,false,true,53
franticCarmen@sfr.fr,neutral,true,false,false,false,50
Amyrich@gmx.net,neutral,true,false,false,true,50
inquisitiveMaurice20@gmail.com,neutral,true,false,false,true,53
sparklingClinton1@outlook.com,neutral,true,false,false,true,51
unsightlyDustin70@frontiernet.net,neutral,true,false,false,true,48
cautiousKristin@charter.net,neutral,true,false,false,true,48
magnificentClaudia@qq.com,neutral,true,false,false,true,53
sillyBenjamin@sky.com,neutral,true,false,false,true,52
sparklingCarl92@att.net,neutral,true,false,false,true,49
difficultAngela68@juno.com,neutral,true,false,false,true,51
uglyBruce65@bol.com.br,neutral,true,false,false,true,48
dangerousNichole45@freenet.de,neutral,true,false,false,true,52
annoyedMark53@frontiernet.net,neutral,true,false,false,true,48
energeticJoy@googlemail.com,neutral,true,false,false,true,49
dullCameron@ig.com.br,neutral,true,false,false,true,50
Hectoralive@comcast.net,neutral,true,false,false,true,53
Abbydifficult@optusnet.com.au,neutral,true,false,false,true,49
Charlotteawful@sympatico.ca,neutral,true,false,false,false,53
importantLeonard60@telenet.be,neutral,true,false,false,false,50
Janetmysterious@live.nl,neutral,true,false,false,true,52
cautiousBryan@club-internet.fr,neutral,true,false,false,false,50
tiredSabrina91@gmail.com,neutral,true,false,false,true,51
cheerfulJohnathan@live.com,neutral,true,false,false,true,53
cheerfulToni66@sbcglobal.net,neutral,true,false,false,true,51
wittyCory@rediffmail.com,neutral,true,false,false,true,49
Kellynice@mail.com,neutral,true,false,false,true,51
Billyshiny@bigpond.net.au,neutral,true,false,false,true,50
Karltender@yahoo.com,neutral,true,false,false,true,48
Sheenamysterious@yahoo.it,neutral,true,false,false,true,52
uglyCaitlin@mac.com,neutral,true,false,false,true,53
Thomasamused@yahoo.com.sg,neutral,true,false,false,true,50
Amypuzzled@ntlworld.com,neutral,true,false,false,false,48
distinctBarry58@uol.com.br,neutral,true,false,false,true,52
